Date,IWF,IWD,IWO,IWN
2000-07-28,64.1220474243164,32.991676330566406,65.65605926513672,22.564298629760742
2000-07-31,65.00164794921875,33.286224365234375,66.33521270751953,22.70197868347168
2000-08-01,65.31925964355469,33.561805725097656,65.68325805664062,22.92913818359375
2000-08-02,64.62294006347656,33.90388870239258,65.9956283569336,23.056480407714844
2000-08-03,65.45362091064453,33.98939895629883,65.22144317626953,23.101213455200195
2000-08-04,65.83232879638672,34.38850402832031,66.68829345703125,23.21135711669922
2000-08-07,66.94400787353516,34.71157455444336,67.97862243652344,23.40065574645996
2000-08-08,67.13945770263672,34.607051849365234,67.32665252685547,23.435070037841797
2000-08-09,66.7973861694336,34.39799499511719,67.1636734008789,23.393781661987305
2000-08-10,65.86897277832031,34.47403335571289,66.03634643554688,23.349029541015625
2000-08-11,66.03997039794922,34.816097259521484,66.52530670166016,23.307735443115234
2000-08-14,67.18829345703125,35.12017059326172,67.80200958251953,23.830881118774414
2000-08-15,67.31049346923828,35.006168365478516,67.25875091552734,23.624370574951172
2000-08-16,67.05390930175781,34.70207595825195,68.019287109375,23.69321060180664
2000-08-17,68.23886108398438,34.93012619018555,68.61698913574219,23.8033390045166
2000-08-18,68.23886108398438,34.88261413574219,68.64410400390625,23.8033390045166
2000-08-21,68.45879364013672,34.987152099609375,68.97008514404297,23.64502716064453
2000-08-22,68.60539245605469,35.101158142089844,69.1602554321289,23.665668487548828
2000-08-23,69.3872299194336,35.006168365478516,69.4318618774414,23.655357360839844
2000-08-24,69.97357177734375,34.93012619018555,70.59996032714844,23.69321060180664
2000-08-25,69.97357177734375,34.89214324951172,71.06175231933594,23.72073745727539
2000-08-28,70.58436584472656,35.063167572021484,71.65937042236328,23.686328887939453
2000-08-29,70.35226440429688,34.89214324951172,72.16191101074219,23.8033390045166
2000-08-30,69.87586212158203,34.92062759399414,72.58295440673828,23.799901962280273
2000-08-31,71.14630126953125,35.272216796875,73.72380065917969,23.92725372314453
2000-09-01,71.2440414428711,35.19618225097656,74.33502197265625,23.968551635742188
2000-09-05,70.046875,35.23420333862305,73.7781753540039,23.968551635742188
2000-09-06,68.38551330566406,35.32921600341797,72.75952911376953,24.119983673095703
2000-09-07,69.46051025390625,35.25320053100586,73.95475006103516,24.326492309570312
2000-09-08,68.36103057861328,35.48126220703125,72.41995239257812,24.18882942199707
2000-09-11,67.04168701171875,35.72831726074219,71.7408676147461,24.305845260620117
2000-09-12,66.455322265625,35.78533172607422,71.64581298828125,24.25766372680664
2000-09-13,67.28604125976562,35.65228271484375,71.98531341552734,24.326492309570312
2000-09-14,67.18829345703125,35.51926040649414,72.90894317626953,24.39533805847168
2000-09-15,66.16216278076172,35.25320053100586,71.46923065185547,24.09246063232422
2000-09-18,65.16045379638672,34.74008560180664,69.1738510131836,23.682876586914062
2000-09-19,66.84622192382812,34.66407012939453,70.27400207519531,23.665668487548828
2000-09-20,65.89286804199219,34.283023834228516,70.21476745605469,23.643566131591797
2000-09-21,66.45500946044922,34.18770217895508,69.60353088378906,23.57447052001953
2000-09-22,66.28392791748047,34.645301818847656,69.60353088378906,23.450111389160156
2000-09-25,65.52623748779297,34.731109619140625,69.60353088378906,23.394840240478516
2000-09-26,64.71969604492188,34.66437530517578,68.57110595703125,23.367197036743164
2000-09-27,64.20642852783203,34.68344497680664,68.04133605957031,23.374103546142578
2000-09-28,65.99063110351562,35.48426055908203,70.74452209472656,23.374103546142578
2000-09-29,64.5486068725586,35.40800476074219,70.33707427978516,23.878475189208984
2000-10-02,63.424312591552734,35.50333023071289,68.35377502441406,23.72647476196289
2000-10-03,62.12894821166992,35.541465759277344,68.13644409179688,23.533016204833984
2000-10-04,63.546504974365234,35.5605354309082,67.48439025878906,23.481204986572266
2000-10-05,63.106590270996094,35.617740631103516,67.06331634521484,23.481204986572266
2000-10-06,61.68903732299805,34.96944046020508,64.19715118408203,23.277374267578125
2000-10-09,61.59125900268555,34.93132400512695,63.436424255371094,23.097726821899414
2000-10-10,59.51374435424805,34.702510833740234,62.1595573425293,22.91118812561035
2000-10-11,59.02493667602539,34.35929870605469,61.3852653503418,22.745361328125
2000-10-12,56.99635696411133,33.482200622558594,59.41562271118164,22.37225914001465
2000-10-13,60.137001037597656,34.0256233215332,62.32255172729492,22.85590171813965
2000-10-16,60.39366912841797,34.04469680786133,63.46354675292969,22.869720458984375
2000-10-17,59.09828186035156,33.701480865478516,61.140785217285156,22.330799102783203
2000-10-18,59.36713790893555,33.577537536621094,60.47517013549805,22.247886657714844
2000-10-19,61.2857666015625,34.14002227783203,62.974571228027344,22.662452697753906
2000-10-20,61.98231887817383,34.36882019042969,64.38728332519531,22.797178268432617
2000-10-23,61.34684371948242,34.39743423461914,64.82196044921875,22.835174560546875
2000-10-24,60.83359909057617,34.59762954711914,64.55030059814453,22.82135581970215
